Pclass,Age,SibSp,Parch,Fare,Has_Cabin,Family_Size,Sex_encoded,Embarked_encoded,Title_encoded,Age_Group_encoded,Fare_Group_encoded
3,-0.8239195741826378,2,0,-0.21196193214671727,0,0.7052385879890675,0,2,1,4,0
3,-1.127570206398377,1,0,-0.5366493757929092,0,0.08445083931801861,0,0,1,4,2
3,0.8461589030039276,1,0,-0.6215265352397711,0,0.08445083931801861,0,2,3,2,2
2,-0.1407056516972247,1,0,-0.06783362607291533,0,0.08445083931801861,0,2,3,0,0
3,-0.3684436258590291,0,0,-0.6973956755570203,0,-0.5363369093530302,1,0,2,0,1
2,-1.9626094449916598,1,2,0.9208481193784128,0,1.3260263366601164,0,0,1,1,3
3,-0.7480069161287031,0,0,-0.6981931855172954,0,-0.5363369093530302,0,1,1,0,1
3,-0.3684436258590291,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,1,0,-0.33206885387488555,0,0.08445083931801861,1,1,2,0,0
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,0,1,1,0,1
3,-0.3684436258590291,2,0,-0.03520297757780651,0,0.7052385879890675,1,0,2,0,0
3,-0.8239195741826378,1,0,-0.2215704858849707,0,0.08445083931801861,0,2,3,4,0
3,-1.6589588127759207,4,1,0.8299656138451424,0,2.567601834002214,1,2,0,1,3
3,-0.5961816000208335,0,0,-0.7019981727976438,0,-0.5363369093530302,1,2,2,0,1
1,1.5293728254893408,1,0,2.6095514388764594,1,0.08445083931801861,0,0,3,2,3
2,0.011119664410644874,1,0,0.17238021738342119,0,0.08445083931801861,0,2,3,0,0
1,2.7439753543522976,0,1,1.9009206006802657,1,0.08445083931801861,1,0,2,3,3
1,0.6184209288421233,0,0,0.6287865199504606,1,-0.5363369093530302,1,2,2,2,3
2,-0.5961816000208335,0,0,-0.5722826973312221,0,-0.5363369093530302,0,2,1,0,2
3,-0.026836664616322524,0,0,-0.7294209851666192,0,-0.5363369093530302,1,0,2,0,1
2,-1.8107841288837903,1,2,0.256455062593139,0,1.3260263366601164,0,2,1,1,0
3,-1.3553081805601814,5,2,1.176474083030908,0,3.809177331344312,1,2,0,1,3
3,-0.5202689419668987,0,0,-0.7294209851666192,0,-0.5363369093530302,1,0,2,0,1
1,0.6943335868960581,0,0,2.766689726711856,1,-0.5363369093530302,0,2,1,2,3
1,1.2257221932736015,1,0,2.93363834791401,1,0.08445083931801861,1,2,2,2,3
3,-1.8866967869377251,3,2,0.26366147789682903,0,2.567601834002214,1,2,0,1,0
1,0.6184209288421233,0,0,0.255052213747354,0,-0.5363369093530302,1,0,2,2,0
3,-0.3684436258590291,1,1,-0.34428132567620573,0,0.7052385879890675,1,0,0,0,0
2,0.011119664410644874,0,0,-0.5722826973312221,1,-0.5363369093530302,0,2,3,0,2
3,-0.7480069161287031,0,0,-0.6847844487755627,0,-0.5363369093530302,1,2,2,0,2
3,-0.8998322322365727,4,2,-0.6959928267112353,0,3.188389582673263,0,2,1,4,2
3,-0.2166183097511595,2,0,-0.6605612848014257,0,0.7052385879890675,1,2,2,0,2
2,0.23885763857244927,0,0,-0.5722826973312221,0,-0.5363369093530302,1,2,2,0,2
3,-0.9757448902905075,5,2,1.176474083030908,0,3.809177331344312,0,2,1,4,3
2,-0.5961816000208335,0,0,2.4544117302186184,0,-0.5363369093530302,1,2,2,0,3
3,-0.2166183097511595,1,0,-0.3823119813722129,0,0.08445083931801861,1,0,2,0,2
3,0.23885763857244927,0,0,1.637482882838571,0,-0.5363369093530302,1,2,2,0,3
3,-0.2925309678050943,0,0,-0.7092045881013339,1,-0.5363369093530302,1,2,2,0,1
3,-0.3684436258590291,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,0,1
3,-0.3684436258590291,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
2,-2.1273399129686985,0,2,0.31650852345722313,0,0.7052385879890675,1,2,0,1,0
3,0.08703232246457968,0,0,-0.47739822916596913,0,-0.5363369093530302,0,2,1,0,2
3,-0.5202689419668987,0,0,-0.644346850368123,0,-0.5363369093530302,1,2,2,0,2
3,0.011119664410644874,0,0,-0.6203254660224894,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,0,0,-0.7025987074062846,0,-0.5363369093530302,0,1,1,0,1
1,-0.06479299364328993,0,0,1.1860826367691615,0,-0.5363369093530302,1,2,2,0,3
2,-0.8998322322365727,0,0,-0.5722826973312221,0,-0.5363369093530302,0,2,1,4,2
3,0.31477029662638406,3,0,-0.315253884832942,0,1.3260263366601164,0,2,3,0,0
3,-0.9757448902905075,1,3,0.5747384051727848,0,1.9468140853311653,1,2,2,4,3
3,-0.3684436258590291,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
3,0.011119664410644874,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
3,-0.6720942580747683,0,0,-0.6993942547345772,0,-0.5363369093530302,1,2,2,0,1
1,1.3016348513275364,1,0,1.8622846060987488,1,0.08445083931801861,1,2,2,2,3
3,-0.2166183097511595,1,2,-0.08825180276670398,0,1.3260263366601164,1,2,2,0,0
3,2.2884994060286887,0,0,-0.7284216955778409,0,-0.5363369093530302,1,2,2,2,1
3,-0.3684436258590291,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
1,3.1994513026759064,0,0,0.5881519461913869,1,-0.5363369093530302,1,0,2,3,3
1,-0.4443562839129639,0,1,1.9671763829823927,1,0.08445083931801861,1,0,2,0,3
2,0.3906829546803189,0,1,0.028251911309619276,0,0.08445083931801861,0,2,3,0,0
2,0.3906829546803189,1,0,0.17238021738342119,0,0.08445083931801861,1,2,2,0,0
3,-0.06479299364328993,0,0,-0.6973956755570203,0,-0.5363369093530302,0,2,1,0,1
3,-0.3684436258590291,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,0,1
1,-0.5961816000208335,0,1,2.6363737166367933,1,0.08445083931801861,1,2,2,0,3
3,0.31477029662638406,0,0,-0.6609600397815633,0,-0.5363369093530302,1,2,2,0,2
3,0.6184209288421233,2,0,-0.6959928267112353,0,0.7052385879890675,1,2,2,2,2
3,-0.06479299364328993,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,0,1
3,-0.5961816000208335,0,0,-0.7092045881013339,0,-0.5363369093530302,0,2,1,0,1
3,-0.3684436258590291,0,0,-0.7031992420149255,0,-0.5363369093530302,1,2,2,0,1
3,0.6943335868960581,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,2,1
3,-0.3684436258590291,1,0,0.08350109530457661,0,0.08445083931801861,0,1,1,0,0
1,1.3775475093814713,0,0,1.4214922033563713,1,-0.5363369093530302,1,2,2,2,3
3,-1.0896138773714097,1,0,-0.3823119813722129,0,0.08445083931801861,0,0,1,4,2
3,-0.5202689419668987,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
3,-0.6720942580747683,1,0,-0.6047115661978275,0,0.08445083931801861,0,2,1,0,2
3,-0.8998322322365727,0,0,-0.3821150060205787,0,-0.5363369093530302,0,0,1,4,0
3,-0.5961816000208335,0,0,-0.6959928267112353,0,-0.5363369093530302,1,2,2,0,2
3,3.161494973648939,0,0,-0.7044003112322071,0,-0.5363369093530302,1,1,2,3,1
2,0.011119664410644874,1,0,-0.06783362607291533,0,0.08445083931801861,1,2,2,0,0
3,-2.0385221030455947,4,2,0.4258058222298562,0,3.188389582673263,0,2,1,1,3
2,-0.5961816000208335,2,0,2.4544117302186184,0,0.7052385879890675,1,2,2,0,3
3,-0.3684436258590291,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
2,0.2768139675994167,1,0,0.36795272017183206,0,0.08445083931801861,1,0,2,0,0
2,0.2768139675994167,0,0,-0.4521757756030538,1,-0.5363369093530302,0,2,1,0,2
1,1.9089361157590148,0,1,2.6363737166367933,1,0.08445083931801861,1,2,2,2,3
3,-1.2793955225062468,1,0,-0.5366493757929092,0,0.08445083931801861,1,0,0,1,2
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,1,1,2,0,1
3,-0.3684436258590291,0,0,-0.733624727427105,0,-0.5363369093530302,1,2,2,0,1
3,-0.3684436258590291,1,1,-0.002577133359566964,1,0.7052385879890675,0,0,1,0,0
3,1.2257221932736015,0,0,-0.7416334569679394,0,-0.5363369093530302,1,2,2,2,1
3,0.31477029662638406,0,0,-0.6973956755570203,0,-0.5363369093530302,1,0,2,0,1
3,-0.6720942580747683,0,0,-0.7380302493160943,0,-0.5363369093530302,1,2,2,0,1
3,1.3775475093814713,1,0,-0.38011162256615283,0,0.08445083931801861,0,2,3,2,0
2,0.011119664410644874,1,0,0.17238021738342119,0,0.08445083931801861,0,2,3,0,0
2,-0.2925309678050943,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,2,0,2
2,-0.4443562839129639,0,0,-0.35388987941445915,0,-0.5363369093530302,1,0,2,0,0
1,-0.7480069161287031,0,2,0.18599073375365724,1,0.7052385879890675,0,2,1,0,0
1,0.6184209288421233,1,0,1.4743392489167653,1,0.08445083931801861,1,2,2,2,3
3,-0.9757448902905075,0,0,-0.6339359823927254,0,-0.5363369093530302,1,2,2,4,2
1,-0.3684436258590291,0,0,2.7282555117588423,1,-0.5363369093530302,1,0,2,0,3
3,-0.3684436258590291,0,2,-0.34428132567620573,0,0.7052385879890675,0,0,3,0,0
3,-0.5202689419668987,0,0,-0.7044003112322071,0,-0.5363369093530302,0,2,1,0,1
3,-0.3684436258590291,1,0,-0.315253884832942,0,0.08445083931801861,0,2,3,0,0
3,-0.7480069161287031,0,0,-0.7524430799234745,0,-0.5363369093530302,1,1,2,0,1
2,-0.8239195741826378,0,0,-0.5242399286399547,0,-0.5363369093530302,1,2,2,4,2
2,-0.7480069161287031,1,1,0.6888399808145448,0,0.7052385879890675,1,2,2,0,3
3,-0.1407056516972247,0,0,-0.7021999524261471,0,-0.5363369093530302,1,2,2,0,1
3,-1.507133496668051,2,2,0.5747384051727848,0,1.9468140853311653,0,2,1,1,3
2,0.5804645998151559,0,2,0.17238021738342119,1,0.7052385879890675,1,2,2,2,0
2,0.9979842191117972,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,4,2,2
2,1.6811981415972104,0,0,-0.47499609073140575,0,-0.5363369093530302,1,2,4,2,2
1,-0.5202689419668987,1,0,2.1229166262488737,1,0.08445083931801861,0,2,3,0,3
3,2.022805102839917,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,2,2
3,0.884115232030895,0,2,-0.38011162256615283,0,0.7052385879890675,1,2,2,2,0
3,-0.3684436258590291,0,0,-0.7254190225346366,0,-0.5363369093530302,1,2,2,0,1
1,1.6811981415972104,0,1,1.8720949394655055,0,0.08445083931801861,1,0,2,2,3
3,-0.9757448902905075,0,0,-0.7052026254693513,0,-0.5363369093530302,0,1,1,4,1
3,0.08703232246457968,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,0,0,-0.6605612848014257,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,8,2,2.2646427938881124,0,5.671540577357458,1,2,0,0,3
3,1.149809535219667,0,1,-0.30324319266012506,0,0.08445083931801861,1,2,2,2,0
2,0.8461589030039276,0,0,-0.3200581617020687,0,-0.5363369093530302,0,2,3,2,0
3,-0.2166183097511595,0,0,-0.7031992420149255,0,-0.5363369093530302,1,2,2,0,1
3,-0.8998322322365727,0,0,-0.6605612848014257,0,-0.5363369093530302,1,2,2,4,2
3,-2.1144347610995293,4,1,0.8299656138451424,0,2.567601834002214,1,2,0,1,3
3,-1.507133496668051,0,2,-0.09065394120126738,0,0.7052385879890675,1,2,0,1,0
1,0.6184209288421233,0,1,1.5656205094301732,1,0.08445083931801861,0,2,3,2,3
3,1.2257221932736015,1,4,0.26366147789682903,0,2.567601834002214,0,2,3,2,0
1,0.6184209288421233,0,0,0.1687770097315762,0,-0.5363369093530302,1,2,2,2,0
3,-0.06479299364328993,0,0,1.637482882838571,0,-0.5363369093530302,1,2,2,0,3
1,2.4403247221365585,0,0,0.532700982567926,1,-0.5363369093530302,1,2,2,3,3
3,-1.8866967869377251,4,1,0.32251386954363154,0,2.567601834002214,1,1,0,1,0
3,-2.1144347610995293,1,1,-0.5418572119190425,0,0.7052385879890675,0,2,1,1,2
3,-0.5961816000208335,0,0,-0.6959928267112353,0,-0.5363369093530302,1,2,2,0,2
1,2.0607614318668843,0,0,0.39797945060387413,1,-0.5363369093530302,1,0,2,2,0
3,-0.8239195741826378,1,1,-0.6993942547345772,0,0.7052385879890675,1,2,2,4,1
3,-0.3684436258590291,3,1,0.14675900884036833,0,1.9468140853311653,1,2,0,0,0
1,1.6052854835432755,0,0,0.3026962274584837,1,-0.5363369093530302,0,0,1,2,0
2,0.08703232246457968,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,2,0,2
3,0.5425082707881884,0,0,-1.0767317685895288,0,-0.5363369093530302,1,2,2,2,1
3,-0.3684436258590291,8,2,2.2646427938881124,0,5.671540577357458,0,2,1,0,3
2,0.011119664410644874,0,0,-0.3536880997859558,0,-0.5363369093530302,1,0,2,0,0
3,-1.507133496668051,4,2,0.4312106337076238,0,3.188389582673263,1,2,0,1,3
2,-2.1144347610995293,2,1,0.7969362103698961,1,1.3260263366601164,1,2,0,1,3
3,-1.8866967869377251,0,2,-0.01858978816436642,0,0.7052385879890675,0,2,1,1,0
1,0.6184209288421233,0,0,1.3254066659738366,1,-0.5363369093530302,1,2,2,2,3
3,-0.3684436258590291,1,0,-0.33206885387488555,0,0.08445083931801861,0,1,3,0,0
1,1.2257221932736015,0,0,0.19880374016361824,0,-0.5363369093530302,1,2,2,2,0
3,0.8461589030039276,1,1,-0.33206885387488555,0,0.7052385879890675,1,1,2,2,0
3,0.5425082707881884,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,2,1
2,0.23885763857244927,0,0,-0.4521757756030538,0,-0.5363369093530302,0,2,3,0,2
2,-0.7480069161287031,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,2,0,2
3,-0.7480069161287031,1,0,-0.6993942547345772,0,0.08445083931801861,0,2,1,0,1
2,-1.9626094449916598,1,1,0.17238021738342119,1,0.7052385879890675,1,2,0,1,0
1,1.149809535219667,0,0,0.255052213747354,1,-0.5363369093530302,0,0,3,2,0
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,1,1,2,0,1
3,0.9979842191117972,0,1,-0.6729707319543801,0,0.08445083931801861,1,2,2,2,2
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,0,1,1,0,1
2,-0.3684436258590291,0,0,-0.4521757756030538,0,-0.5363369093530302,0,2,1,0,2
3,-0.06479299364328993,0,0,-0.6203254660224894,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,8,2,2.2646427938881124,0,5.671540577357458,1,2,2,0,3
3,0.3906829546803189,0,0,-0.7646555517247947,0,-0.5363369093530302,1,2,2,0,1
3,1.263678522300569,0,0,-0.7296227647951226,0,-0.5363369093530302,1,0,2,2,1
3,-0.8239195741826378,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,4,2
3,-2.0385221030455947,0,1,-0.5740843011571446,1,0.08445083931801861,0,2,1,1,2
3,0.23885763857244927,1,0,-0.315253884832942,0,0.08445083931801861,1,2,2,0,0
3,-0.2166183097511595,0,0,-0.17412825180234417,0,-0.5363369093530302,1,0,2,0,0
3,-0.9757448902905075,0,0,-0.7044003112322071,0,-0.5363369093530302,0,1,1,4,1
1,0.8461589030039276,0,0,0.41259406083975775,1,-0.5363369093530302,1,0,2,2,0
3,-0.3684436258590291,0,0,-0.7380302493160943,0,-0.5363369093530302,1,2,2,0,1
2,0.46659561273425365,0,0,-0.06783362607291533,0,-0.5363369093530302,0,2,1,0,0
3,-0.5202689419668987,0,0,-0.7284216955778409,0,-0.5363369093530302,1,2,2,0,1
2,0.08703232246457968,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,1,0,-0.7044003112322071,0,0.08445083931801861,1,1,2,0,1
3,-0.1407056516972247,0,0,-0.6959928267112353,0,-0.5363369093530302,0,2,1,0,2
2,0.9979842191117972,1,0,0.2204229860746885,0,0.08445083931801861,1,2,2,2,0
1,0.23885763857244927,0,0,2.5885327275740297,1,-0.5363369093530302,0,0,1,0,3
2,0.08703232246457968,0,0,-0.5722826973312221,0,-0.5363369093530302,1,2,2,0,2
3,-0.9757448902905075,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,4,2
2,-0.1407056516972247,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,2,0,2
3,1.6811981415972104,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,2,2
3,-0.3684436258590291,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,0,1
1,0.6943335868960581,1,0,3.247117413624529,1,0.08445083931801861,1,2,2,2,3
3,-0.5202689419668987,0,0,-0.6275318813261795,0,-0.5363369093530302,1,2,2,0,2
2,-0.7480069161287031,0,0,-0.5722826973312221,0,-0.5363369093530302,1,2,2,0,2
3,-0.6341379290478009,0,0,-0.7284216955778409,0,-0.5363369093530302,1,2,2,0,1
2,-0.8239195741826378,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,2,4,2
3,-0.3684436258590291,3,1,0.14675900884036833,0,1.9468140853311653,0,2,1,0,0
1,0.46659561273425365,1,0,2.93363834791401,1,0.08445083931801861,0,2,3,0,3
3,0.011119664410644874,0,0,-0.7031992420149255,0,-0.5363369093530302,1,2,2,0,1
2,2.2884994060286887,0,0,-0.42815439125742016,0,-0.5363369093530302,1,2,2,2,2
3,-1.8107841288837903,4,2,0.4312106337076238,0,3.188389582673263,0,2,1,1,3
2,-0.3684436258590291,0,0,-0.5722826973312221,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,0,0,-0.7140088649704606,0,-0.5363369093530302,0,2,1,0,1
2,1.149809535219667,1,0,0.17238021738342119,0,0.08445083931801861,1,2,2,2,0
2,-1.5830461547219858,0,2,0.18439090955623802,0,0.7052385879890675,0,2,1,1,0
2,-0.7480069161287031,0,0,-0.5722826973312221,0,-0.5363369093530302,1,2,2,0,2
2,0.31477029662638406,0,0,-0.48700678290422256,0,-0.5363369093530302,1,2,2,0,2
3,-0.3684436258590291,1,0,-0.3823119813722129,0,0.08445083931801861,0,0,1,0,2
3,-0.3684436258590291,1,0,-0.33206885387488555,0,0.08445083931801861,0,1,1,0,0
2,0.011119664410644874,0,0,-0.5722826973312221,0,-0.5363369093530302,1,2,2,0,2
3,-0.5202689419668987,0,0,-0.7344270416642492,0,-0.5363369093530302,1,2,2,0,1
3,0.08703232246457968,0,0,-0.7296227647951226,0,-0.5363369093530302,1,0,2,0,1
1,1.149809535219667,2,0,3.247117413624529,1,0.7052385879890675,1,1,4,2,3
3,-0.2925309678050943,0,0,-0.7031992420149255,0,-0.5363369093530302,0,2,1,0,1
2,-0.3684436258590291,0,2,-0.38011162256615283,0,0.7052385879890675,0,2,3,0,0
1,0.6184209288421233,1,1,1.4481175057650717,1,0.7052385879890675,1,2,2,2,3
2,1.9089361157590148,1,0,0.17238021738342119,0,0.08445083931801861,1,2,4,2,0
3,-0.3684436258590291,0,0,-0.7284216955778409,0,-0.5363369093530302,1,2,2,0,1
3,0.011119664410644874,1,1,-0.5740843011571446,1,0.7052385879890675,0,2,3,0,2
1,2.516237380190493,0,0,0.19880374016361824,1,-0.5363369093530302,1,2,2,3,0
3,0.08703232246457968,1,0,-0.30324319266012506,0,0.08445083931801861,1,2,2,0,0
3,0.9220715610578625,0,2,-0.10566730641728841,0,0.7052385879890675,0,2,3,2,0
3,0.011119664410644874,0,2,-0.34428132567620573,0,0.7052385879890675,0,0,3,0,0
1,0.6184209288421233,0,0,2.7282555117588423,0,-0.5363369093530302,0,0,3,2,3
1,0.08703232246457968,0,0,3.0789677232050936,1,-0.5363369093530302,0,2,1,0,3
2,1.6052854835432755,0,1,0.17238021738342119,0,0.08445083931801861,0,2,3,2,0
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,1,1,2,0,1
3,-1.9626094449916598,4,2,0.4312106337076238,0,3.188389582673263,1,2,0,1,3
1,1.7571107996511452,1,1,2.7498747576699127,1,0.7052385879890675,1,2,2,2,3
1,0.8461589030039276,0,0,-1.0767317685895288,1,-0.5363369093530302,1,2,2,2,1
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,0,1,1,0,1
2,0.5425082707881884,0,0,-0.5722826973312221,0,-0.5363369093530302,1,2,2,2,2
3,-0.9757448902905075,4,1,0.8299656138451424,0,2.567601834002214,1,2,2,4,3
3,-0.2925309678050943,1,0,-0.7031992420149255,0,0.08445083931801861,1,2,2,0,1
1,0.6184209288421233,0,0,0.41259406083975775,0,-0.5363369093530302,1,2,2,2,0
3,-0.2925309678050943,0,0,-1.0767317685895288,0,-0.5363369093530302,1,2,2,0,1
2,0.9220715610578625,0,1,-0.1398977791098163,0,0.08445083931801861,0,2,3,2,0
1,0.6184209288421233,0,1,0.3501384615411102,1,0.08445083931801861,1,0,2,2,0
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,0,1,1,0,1
1,2.592150038244428,1,0,2.6686008058748953,1,0.08445083931801861,0,2,1,3,3
3,1.2257221932736015,0,0,-0.7044003112322071,0,-0.5363369093530302,0,2,1,2,1
2,0.011119664410644874,0,0,-1.0767317685895288,0,-0.5363369093530302,1,2,2,0,1
3,-1.6589588127759207,4,1,0.32251386954363154,0,2.567601834002214,1,1,0,1,0
3,0.46659561273425365,1,1,-0.10386570259136582,0,0.7052385879890675,0,2,3,0,0
3,2.7439753543522976,0,0,-0.7044003112322071,0,-0.5363369093530302,1,1,2,3,1
3,-0.06479299364328993,0,0,-0.6993942547345772,0,-0.5363369093530302,1,2,2,0,1
3,-0.9757448902905075,0,0,-0.6203254660224894,0,-0.5363369093530302,1,2,2,4,2
3,-0.7480069161287031,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
1,0.6184209288421233,0,0,0.17238021738342119,1,-0.5363369093530302,1,2,2,2,0
3,0.31477029662638406,0,0,-0.6605612848014257,0,-0.5363369093530302,1,0,2,0,2
3,0.08703232246457968,0,0,-0.6203254660224894,0,-0.5363369093530302,1,2,2,0,2
3,-0.5202689419668987,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,0,1
2,0.9979842191117972,0,0,-0.4521757756030538,0,-0.5363369093530302,1,2,2,2,2
3,-0.5202689419668987,0,0,-0.7044003112322071,0,-0.5363369093530302,0,1,1,0,1
1,-0.2166183097511595,0,0,2.711440542716898,0,-0.5363369093530302,0,2,1,0,3
1,-0.7480069161287031,1,0,3.2989651695961446,1,0.08445083931801861,0,0,3,0,3
2,0.5425082707881884,0,0,-0.45818112168946223,1,-0.5363369093530302,1,0,2,2,2
3,-0.3684436258590291,0,0,-0.6515532656718132,0,-0.5363369093530302,0,2,1,0,2
3,-0.3684436258590291,0,0,-0.6973956755570203,0,-0.5363369093530302,1,2,2,0,1
1,0.6184209288421233,0,0,0.255052213747354,0,-0.5363369093530302,1,0,2,2,0
3,-0.4063999548859965,0,0,-0.7294209851666192,0,-0.5363369093530302,1,0,2,0,1
1,0.6184209288421233,0,0,0.3885726764941241,1,-0.5363369093530302,1,2,2,2,0
3,-0.3684436258590291,0,0,-0.7044003112322071,0,-0.5363369093530302,0,1,1,0,1
3,-0.3684436258590291,2,0,0.0402626034824361,0,0.7052385879890675,1,1,2,0,0
3,-0.7480069161287031,0,0,-1.0767317685895288,0,-0.5363369093530302,1,2,2,0,1
2,0.011119664410644874,0,0,-0.48340357525237754,1,-0.5363369093530302,0,1,1,0,2
3,-0.3684436258590291,0,0,-0.689987480624827,0,-0.5363369093530302,1,2,2,0,2
2,0.08703232246457968,1,0,0.07629468000088659,0,0.08445083931801861,1,0,2,0,0
1,0.08703232246457968,0,0,1.658304618789366,1,-0.5363369093530302,0,0,1,0,3
1,-0.3684436258590291,0,0,2.9184232030694854,1,-0.5363369093530302,0,0,1,0,3
